Bahasa Indonesia,Bahasa Inggris,Matematika,Fisika,Biologi,Seni,Geografi,Sejarah,Pendidikan Jasmani,Kewirausahaan,Ekonomi,MBTI,Hobi,Gaya Belajar,Jurusan Kuliah
79,71,89,91,67,57,66,77,82,80,84,INTJ,Teknologi,Kinestetik,Sistem Informasi
84,80,96,84,67,60,61,68,84,88,78,INTJ,Game,Visual,Sistem Informasi
78,75,98,90,68,54,71,72,84,87,79,INTJ,Teknologi,Kinestetik,Sistem Informasi
73,80,89,95,77,51,71,67,76,89,75,INTJ,Teknologi,Visual,Sistem Informasi
73,81,86,86,66,59,71,69,72,87,77,INTJ,Teknologi,Kinestetik,Sistem Informasi
71,76,87,83,70,64,63,66,73,76,72,ISTJ,Teknologi,Kinestetik,Sistem Informasi
79,85,92,84,73,60,74,80,81,80,78,ISTJ,Teknologi,Kinestetik,Sistem Informasi
76,79,90,94,78,52,67,78,64,70,84,INTJ,Game,Visual,Sistem Informasi
78,72,94,82,73,70,73,76,78,83,70,INTJ,Game,Auditori,Sistem Informasi
81,83,94,80,65,63,63,67,84,72,83,INTJ,Teknologi,Visual,Sistem Informasi
73,80,92,92,69,61,62,77,64,90,80,ISTJ,Game,Kinestetik,Sistem Informasi
79,71,85,91,72,70,70,80,81,79,73,ISTJ,Teknologi,Auditori,Sistem Informasi
76,81,93,91,67,58,65,75,72,70,82,INTJ,Game,Auditori,Sistem Informasi
75,81,95,94,70,59,66,80,60,73,76,ISTJ,Game,Kinestetik,Sistem Informasi
79,79,85,90,73,75,73,73,82,79,70,ISTJ,Game,Kinestetik,Sistem Informasi
73,75,100,95,74,52,67,80,64,70,85,INTJ,Game,Visual,Sistem Informasi
72,73,99,82,75,55,69,67,69,70,83,INTJ,Game,Kinestetik,Sistem Informasi
83,71,92,84,79,52,75,80,70,78,71,INTJ,Game,Kinestetik,Sistem Informasi
82,72,93,83,78,52,66,65,79,71,77,INTJ,Teknologi,Visual,Sistem Informasi
80,81,100,89,69,66,72,73,61,75,82,INTJ,Game,Kinestetik,Sistem Informasi
84,70,99,84,79,75,72,67,79,78,71,INTJ,Game,Auditori,Sistem Informasi
74,74,97,81,73,61,75,71,68,89,77,INTJ,Game,Kinestetik,Sistem Informasi
82,81,88,85,65,68,60,68,85,78,82,ISTJ,Teknologi,Visual,Sistem Informasi
76,76,90,80,80,71,75,75,78,77,74,INTJ,Teknologi,Kinestetik,Sistem Informasi
78,71,92,94,71,54,71,65,61,82,78,ISTJ,Teknologi,Visual,Sistem Informasi
83,80,89,82,77,52,61,78,69,74,83,ISTJ,Game,Auditori,Sistem Informasi
72,77,91,90,67,71,61,70,76,77,79,ISTJ,Teknologi,Visual,Sistem Informasi
74,70,86,85,68,72,70,73,84,74,85,ISTJ,Game,Kinestetik,Sistem Informasi
84,71,90,81,72,66,70,71,77,76,72,ISTJ,Teknologi,Auditori,Sistem Informasi
85,75,92,84,80,73,64,78,61,89,75,INTJ,Game,Auditori,Sistem Informasi
73,82,88,80,74,57,68,70,61,72,78,ISTJ,Teknologi,Kinestetik,Sistem Informasi
76,81,89,94,72,68,60,66,61,80,79,ISTJ,Teknologi,Auditori,Sistem Informasi
75,83,89,81,68,62,70,80,79,83,84,ISTJ,Game,Visual,Sistem Informasi
82,72,93,90,72,62,64,76,66,89,71,ISTJ,Teknologi,Visual,Sistem Informasi
77,82,100,91,78,54,74,80,60,82,75,ISTJ,Teknologi,Visual,Sistem Informasi
73,75,99,95,70,72,66,78,62,83,77,INTJ,Teknologi,Visual,Sistem Informasi
85,71,96,95,76,70,72,72,72,70,79,INTJ,Teknologi,Visual,Sistem Informasi
73,73,93,84,67,73,64,72,70,78,82,INTJ,Teknologi,Visual,Sistem Informasi
83,71,86,81,78,73,64,69,62,75,77,ISTJ,Game,Kinestetik,Sistem Informasi
83,83,99,82,75,63,68,77,63,70,84,ISTJ,Teknologi,Auditori,Sistem Informasi
78,85,94,90,69,69,75,67,81,87,74,ISTJ,Game,Auditori,Sistem Informasi
